article	summary
the sales for burley tobacco at malawi 's auction floors have hit the lowest level since the market started this march , nation online of malawi reported on tuesday .	tobacco sale hits lowest point in malawi
turkey 's government condemned an attack on the seat of the spiritual leader of the world 's orthodox christians in istanbul , and said friday it had tightened security at the complex .	turkey tightens security around ecumenical patriarchate following explosion
australia cricket captain ricky ponting can continue using his revolutionary bat for the immediate future , the international cricket council -lrb- icc -rrb- said tuesday .	icc allows ponting to continue using prototype bat for now
most of southern peru , including two of the country 's main cities , was paralyzed thursday as thousands took to the streets to protest the sale of two state-owned regional utility companies .	strike against utilities auction paralyzes southern peru
motorola inc. stunned wall street friday by disclosing that sales of its cellular phones would be well below analysts ' projections in the first quarter .	motorola stuns wall street with projection of low cellular phone sales
the united nations food and agriculture organization -lrb- fao -rrb- called friday for speedy mass killing of birds in bird flu-hit areas and international aid to farmers affected by the measure .	un agency calls for speedy mass UNK to contain bird flu
one of three top suspects in the disappearance of natalee holloway wrote during an internet chat session that the teenager was dead , aruba 's chief prosecutor said thursday .	holloway suspect referred to her death in internet chat aruba prosecutor says
energy futures fell in quiet holiday trading monday as investors , questioning whether oil will keep surging to new highs , decided to cash in some of their recent profits .	crude futures fall as investors debate oil s price and a key nigerian platform returns
asian stock markets were mostly lower wednesday as investors shrugged off overnight gains on wall street amid lingering worries about europe 's debt crisis .	asian stocks lower on worries over europe s crisis
the international monetary fund ' s managing director dominique strauss-kahn will visit africa from march # , to discuss opportunities and challenges facing african economies in the wake of the global crisis , according to a statement released by the fund thursday .	imf chief to visit africa for dialogue on its economic challenges
the obama administration 's plan to `` stress-test '' ## large banks is yielding benefits even before the findings are released thursday .	bank stress tests yield early benefits
tehran 's top prosecutor says two men executed thursday were convicted of involvement in an armed group aiming to topple iran 's clerical leadership .	iran hangs # for allegedly aiming to topple state
with the fight over recounting florida 's presidential ballots entering its fourth week , vice president al gore 's campaign has begun a new fund-raising effort .	gore seeks money for recount fight
the country 's total merchandise trade reached ##.### billion us dollars in the first half of #### , ##.# percent up from ##.### billion us dollars a year ago .	philippines trade up ##.# pc in #st half of ####
a passenger plane apparently caught fire while landing at tehran airport , killing ## passengers , state-run television reported wednesday .	plane catches fire in tehran airport ## passengers killed
americans shani davis and chad hedrick claimed the top two spots in a world cup #,###-meter long track speedskating event on saturday .	davis hedrick finish #-# in world cup speedskating
the serb member of the joint bosnian presidency demanded tuesday that all serbs arrested by muslim-croat authorities over the past year be released immediately .	krajisnik demands release of detained serbs
anita o'day , whose sassy renditions of `` honeysuckle rose , '' `` sweet georgia brown '' and other song standards that made her one of the most respected jazz vocalists of the ####s and '##s , has died .	jezebel of jazz anita o day dies at ##
pete harnisch pitched a four-hitter for his second straight complete game , leading the cincinnati reds over the houston astros #-# wednesday night .	reds # astros #
if the florida state seminoles are to win a critical game against wake forest next weekend , they 'll have to do it with redshirt freshman UNK manuel at quarterback and not christian ponder .	shot at bowl in freshman s hands
zhu lin , wife of chairman of the standing committee of china 's national people 's congress li peng , met here on thursday with a women 's delegation led by sheikha mozah bint nasser abdullah UNK , who is consort of the qatari emir and president of the supreme council for family affairs in qatar .	zhu lin meets qatari women 's delegation
german foreign minister joschka fischer will travel to the middle east this week for talks with israeli prime minister ariel sharon and palestinian leader mahmud abbas , his ministry said monday .	german fm to visit israel palestinian territories this week
rooney mara will be working alongside james bond star daniel craig in the hollywood remake of `` the girl with the dragon tattoo .	rooney mara joins daniel craig for dragon tattoo
u.s. stock futures fell thursday as investors digested a mix of corporate and economic news , including weaker-than-expected earnings from sears holdings corp. and a strong reading on u.s. economic growth in the third quarter .	us stock futures slip as sears holdings reports weaker-than-expected earnings oil jumps
federal agents searched former football star o.j. simpson 's home early tuesday as part of an investigation into an ecstasy drug ring and the theft of equipment used to steal satellite television signals .	authorities search o.j. simpson 's home in connection with drug
encroaching on political turf that vice president al gore has cultivated for years , gov. george w. bush ventured into silicon valley on thursday to fatten his already flush campaign treasury and to unveil proposals favored by the technology industry .	bush seeks to curry favor in silicon valley
tokyo stocks were narrowly mixed early friday , seesawing at the open despite wall street 's rebound overnight from a five-day decline .	tokyo stocks mixed in early trading u.s. dollar lower against yen
princess diana 's brother , earl spencer , noted for accusing the press of invading his family 's privacy , was back in the news sunday _ explaining he 'd been drained by talking about his sister for a television program which is provoking controversy even before airing .	spencer says diana tv program drained him ; controversy over
a bomb exploded at a police station on the western edge of the iraqi capital on monday , police said .	bomb explodes at baghdad police station
us secretary of state hillary clinton was to meet palestinian president mahmud abbas thursday after he renewed his threat to quit peace talks in a row over jewish settlements in the occupied west bank .	clinton to meet abbas as settlements threaten peace talks
indonesian police have arrested a prosecution witness in the tommy suharto murder and weapons trial who retracted his statement to police during a court appearance last week , tommy 's lawyer said monday .	police arrest witness who recanted in tommy suharto trial
china is to accept bids from overseas oil companies for petroleum development in northwest china 's xinjiang ugyur autonomous region from june # to october ## this year .	china invites bids for oil exploration
general motors said thursday that it had agreed to give as much as $ ### million to a parts supplier , american axle and manufacturing , to help settle a ##-week strike that has reduced or halted production at ## gm factories .	gm to pay $ ### million to settle strike
two days after a power shutoff at a submarine base raised questions of nuclear safety , russia 's prime minister on saturday forbid energy suppliers from cutting off military facilities .	russia bans power cutoffs to military bases
the united states national women 's basketball team was chosen thursday as usa basketball 's team of the year .	usa women 's basketball team honored
kenya 's feuding political factions on monday resumed talks aimed at finding a peaceful solution to the crisis that erupted over disputed december elections , officials said .	kenya crisis talks resume
in the aftermath of the peso crisis , mexico has turned into an incredible shrinking market for new-car sales , and world auto companies are scrambling to adjust .	mexican peso fall leads to UNK standstill
twenty-one people were killed in a spate of bomb attacks across iraq on tuesday , one of the deadliest days of violence in the country since us troops left its cities three weeks ago .	iraq bomb attacks kill ##
state-owned aircraft manufacturer pt dirgantara indonesia -lrb- pt di -rrb- has delivered a second military cn - ### airplane to pakistan 's air force , the jakarta post newspaper reported monday .	indonesian aerospace industry delivers plane to pakistan
john mccain cast himself as the defender of the middle class and the american value of rewarding hard work friday as he warned voters of his rival 's plans to `` tax and spend .	mccain says democrats will tax and spend
the torrent of falling bricks and scaffolding around the city over the last year had already made gaston silva the most quoted buildings commissioner in recent city history when the crackdown on sex shops happened a few weeks ago .	buildings chief tends to moral foundations
the united states on wednesday played down venezuela 's troop buildup near the border with colombia by saying caracas had no role to play other than to join a us and regional bid for dialogue .	us plays down venezuela 's troop buildup near colombia
a new york times researcher convicted in china of fraud last year was released from prison saturday .	imprisoned chinese ny times researcher released
nato-led peacekeepers have set free a former aide to top war crimes suspect radovan karadzic , an alliance statement said tuesday .	nato peacekeepers release suspected supporter of top war crimes suspect
president ma ying-jeou expressed his hope tuesday that the u.s. government will offer taiwanese citizens visa-free treatment , saying such treatment from japan has helped boost passenger traffic between the two countries .	president ma urges u.s. to grant taiwan visa-free access
donald sutherland as the leader of the warsaw ghetto 's jewish council in `` uprising .	donald sutherland finds right emotional makeup for four-hour
the united states still wants to forge a free-trade agreement -lrb- fta -rrb- with thailand despite a political vacuum in the southeast asian kingdom , a senior us official said monday .	us not abandoning thai free-trade talks
the number of ministers in georgia 's autonomous adjara province , now back under central control , will be trimmed from ## to five in this tiny black sea republic long run as one man 's personal fiefdom , an adjara official said thursday .	number of ministers in georgia 's adjara province to be cut sharply
the supreme court of uzbekistan sentenced ## accused islamic militants to prison on tuesday for what it described as their involvement in terrorist attacks this spring .	uzbek court sentences ## for roles in terror attacks
north korea celebrated the birthday of late founding father kim il sung on wednesday while the isolated regime prepared to restart its nuclear reactor by expelling u.n. inspectors .	nkorea marks late leader s birthday amid tensions
house democrats on thursday chose rep. nancy pelosi , a liberal from california , as their leader , making her the first woman to head a major political party 's congressional caucus .	house democrats elect pelosi of california their leader
spanish foreign minister ana palacio said thursday that morocco 's claim to spain 's enclaves of ceuta and melilla on the north african coast had no legal grounds under international law .	spain rejects morocco 's claim to two enclaves
israel 's hardline foreign minister avigdor lieberman warned on monday that negotiating the borders of a palestinian state without security arrangements for israel would be a `` historic mistake .	lieberman warns against setting borders of palestinian state
a remarkable television show in which a dutch student was caught on hidden cameras saying he was involved in the disappearance of a u.s. teenager in the caribbean in may #### was watched by a record # million dutch viewers , officials said monday .	hidden camera images show dutch student saying natalee holloway s body was dumped at sea
the national football league heads into week seven with a number of good matchups , including tampa bay visiting philadelphia where the buccaneers do n't have fond memories of their last visits .	tampa bay looks to avenge playoff losses to eagles
president bush might not have turned up personally in riyadh on friday but he certainly sent a high-powered delegation to pay his respects to the new leader of saudi arabia , king abdullah .	why america is more dependent than ever on saudi arabia
former indonesian dictator suharto 's care during his two-week hospitalization has sparked quiet debate in this predominantly muslim on end-of-life issues such as when to use ventilators and other machines to keep a patient alive .	end-of-life issues debated in indonesia as suharto hovers near death
mathieu schneider used to miss so many practices , kings coach andy murray took to calling them `` UNK '' whenever a player begged off practice because of injuries .	schneider healthy hot for kings
a judge has delayed trial in the auto industry 's suit against the state for setting tougher fuel emission standards than the federal government -- putting the fate of california 's global warming pollution law in the hands of the supreme court .	california 's pollution law now in hands of supreme court
swedish car-maker volvo confirmed wednesday it would sell its eight percent stake in french car-maker renault but said it had decided to keep its options open on a further four percent it is entitled to sell .	volvo keeps options open on renault stake
israeli prime minister ehud barak is to travel to egypt on friday to hold talks with egyptian president hosni mubarak on the middle east peace process , barak 's office said thursday .	barak to hold talks with mubarak in egypt
an advocacy group staged a protest at the ministry of education -lrb- moe -rrb- against the high cost of university education sunday , calling for no tuition hikes in the coming academic year .	advocacy group protests high college tuition fees
israel has declared a terrorism alert throughout the country and in its overseas missions following the killing in malta of the leader of the militant islamic jihad , a military source said monday .	israel on terrorism alert killing of islamic jihad chief
beninese president thomas boni yayi , togolese president faure gnassingbe , eritrean president isaias afwerki , zimbabwean president robert gabriel mugabe , and nigerien president mamadou tandja said their countries will firmly pursue the one-china policy .	five african countries reiterate adherence to one-china policy
the un warcrimes prosecutor reiterated a call wednesday for the arrests of balkan warcrimes suspects radovan karadzic and ratko mladic , ## years to the day the bosnian serb pair were first indicted .	un prosecutor reiterates call for karadzic mladic arrests
there are no degrees of horror when children are murdered at their school .	another school horror targets the innocent
china will always perceive its relations with singapore from a strategic height and work with singapore to push bilateral links to higher levels , chinese vice premier li keqiang said here wednesday .	china to float #.## bln usd three-year t-bonds thursday
gilberto camara , a scientist who leads brazil 's national space agency , is more at ease poring over satellite data of the amazon than being thrust into the spotlight .	brazil rain forest analysis sets off political debate andrew downie contributed reporting from sao paulo brazil
a four-member delegation from the international missile technology control regime -lrb- mtcr -rrb- arrived here wednesday for talks with the pakistani government on missile issues , officials said .	international missile technology control team arrives
london 's economy is likely to emerge from recession this year but thousands more jobs are likely to be lost , according to an industry report published friday .	recession ending but thousands more jobs will go _ report
spanish taxi drivers joined fishermen in protesting over soaring fuel costs thursday , with the movement expected to spread to the road transport industry this week .	spanish taxi drivers join protests over fuel costs
in that old battle of the wills between young people and their keepers , the young have found a new weapon : a cell phone ring tone that many adults can not hear .	a ring tone only teens can hear
as far as stock hits go , this ranks up there as one of the worst .	merck stock price takes a beating
the end came quickly monday for retired fbi agent john j. connolly jr. .	ex-fbi agent gets ## years for protecting gangsters
a u.n. war crimes prosecutor insisted monday on the arrest of four long-sought fugitives whose success at eluding capture has become the biggest single obstacle to serbia building closer ties with the european union .	international mediators on kosovo and un war crimes prosecutor visit serbia
berlin , december ## -lrb- xinhua -rrb- -- the following are the main reference exchange rates of the european central bank on wednesday .	ecb reference exchange rates
antoine deneriaz proved his fast training run was no fluke , winning the last world cup downhill of the season wednesday on lillehammer 's olympic hill .	deneriaz beats eberharter rahlves in downhill season finale
the indonesian navy scoured the bay of jakarta on friday for at least ## people still missing after a blaze on a ferry that killed ## passengers .	indonesia navy hunts for ferry survivors
a three-way meeting with u.s. secretary of state condoleezza rice , israeli prime minister ehud olmert and palestinian president mahmoud abbas will take place in jerusalem feb. ## , olmert said during a speech on tuesday .	israeli palestinian leaders to meet rice later this month
global banking giant hsbc holdings plc said monday in hong kong that its net profit more than doubled in the first half of #### on a year-on-year basis , driven by significantly reduced loan impairment charges and strong emerging markets ' profits .	hsbc 's net profit doubles to #.# billion usd on lower impairment
the head nurse at a cancer center where the united states ' largest hepatitis c outbreak began has lost her license .	nebraska health officials revoke license of cancer clinic nurse in hepatitis c outbreak
afghanistan has decided to further intensify war on the illicit production and trafficking of narcotics , the country 's top security official said thursday .	afghanistan to intensify war on drug
palestinian president mahmud abbas said on sunday that he will not return to the negotiating table with israel without a settlement freeze that includes annexed arab east jerusalem .	abbas rejects settlement freeze that excludes jerusalem
despite mounting western pressure and the implicit threat of sanctions , iran has yet to sign a key agreement opening its nuclear facilities to intrusive inspections , the u.n. atomic energy watchdog said thursday .	tehran still has n't signed key nuclear agreement u.n. atomic chief says
a chinese girl will try to set the guinness record for longest swimming as she plans to swim ## hours continuously over a distance of ## kilometers across the UNK lake , which is located in northeast china 's heilongjiang province .	chinese girl to challenge open water swimming guinness record
hong kong 's community investment and inclusion fund -lrb- UNK -rrb- will offer support to community projects , in an effort to sustain the momentum and nurture the community efforts generated by the anti-sars operation unite initiated over last weekend , said raymond wu UNK , chairman of the UNK committee tuesday .	hk fund to support community projects
chinese people will soon be able to send or receive money from overseas at local postal offices through a network that has ###,### locations in ### countries and regions .	new money wire UNK to be launched
through much of last year 's campaign , president obama enjoyed the acclaim of a politician who seemed adept at making himself all things to almost all people .	obama charts his own course
fujitsu ltd. and intel corp. have agreed to jointly develop high-end computer servers using the open-source linux operating system .	fujitsu intel agree to work together on linux servers
the rolling stones frontman mick jagger has filmed scenes for a comedy pilot being considered by abc for its fall schedule , the show 's producers said wednesday .	mick jagger films scenes for abc comedy pilot
jordan 's national debt soared #.# percent in #### and stood at #.## billion jordanian dinars -lrb- ##.# billion u.s. dollars -rrb- by the end of #### , local daily the jordan times reported thursday .	jordan 's national debt rises #.# pct in ####
the greek economy picked up in the third quarter of #### , posting growth of #.# percent from the same period a year earlier , figures released tuesday by the national statistics service esye showed .	greek economy posts growth of #.# percent in third quarter
time is running out for president gen. pervez musharraf to finalize a pact with ex-premier benazir bhutto that would keep the u.s.-allied leader in office , bhutto 's party warned thursday .	time running out for deal between musharraf and bhutto her party says
the following are some of the major international news stories scheduled to be covered or pursued by xinhua on sunday .	french open order of play for sunday
mexico is concerned about the situation of us-bound undocumented migrants , authorities in this border city said thursday , on the heels of a deadly smuggling incident in texas .	mexico voices concern over us-bound undocumented migrants
violence between students and police flared again monday as president suharto reportedly considered holding talks with student leaders who have demanded he quit .	students throw rocks at police as suharto considers dialogue
oprah winfrey has unveiled an UNK image of a british girl who disappeared from a portuguese resort two years ago .	winfrey interviews parents of madeleine mccann
a. mardi gras is the culmination of pre-lenten carnaval , one of the most dazzling events of the year in spain and one of the largest such celebrations in the world .	mardi gras in cadiz
as people around the world resolved to be more thoughtful and caring in the new year , a group of buddhists in the united states is preaching that compassion is for the birds .	for buddhists in us compassion really is for the birds
finn hannu manninen won the world cup nordic combined event here on saturday ahead of germans sebastian haseney and ronny ackermann .	finn manninen wins nordic combined
russian authorities formally handed over control of a nuclear training facility at a former soviet base in paldiski , estonia , on tuesday .	russia hands facility at former base over to estonia
the united states and india announced on tuesday they were launching a dialogue to strengthen economic relationship , with u.s. treasury secretary timothy geithner planning to visit india early next year .	u.s. to strengthen economic ties with india
prominent kosovo albanian activist flora brovina , sentenced to a long prison term last year for terrorism , was released wednesday , witnesses and her lawyer said .	kosovo albanian activist freed
a senior russian lawmaker said today his country is opposed to nato 's expansion toward slovakia and other east and central european countries .	russian lawmaker opposes nato 's expansion
for the past few years , li UNK has refused to live in the countryside and work as a farmer _ even though his registration at birth as a rural resident allows him few legal alternatives .	china is slowly easing bonds to birth regions
the supreme court overturned a south carolina death sentence on wednesday because the judge refused the defendant 's request to inform the jurors that there was no chance the man they had convicted of a murder would ever be released if they sentenced him to life in prison .	supreme court overturns south carolina death sentence
palestinian foreign minister nabil UNK arrived here friday on a three-day official visit for talk with indian leadership on a host of issues including developments in the middle east peace process and the iraq situation .	palestine foreign minister kicks off visit to india
in the clearest evidence yet that black holes exist , astronomers report they have observed stellar gas being sucked in by the mysterious objects , whose gravity is so intense not even light can escape .	astronomers see evidence of black holes
if norman rockwell were around today and looking for a perfect little southern town to paint , he could n't find a better place than franklin .	a civil town worthy of norman rockwell
israel resumed security contacts with the palestinians on wednesday , a development that headed off any immediate threat of a large israeli incursion into the gaza strip .	israelis restore security ties with palestinians
profit-taking sent gold and the other precious metals lower wednesday .	gold silver retreat on profit-taking ; copper hits week low
o.j. simpson 's attorneys will ask a judge today to disallow blood evidence that they contend was illegally seized from the murder defendant 's ford bronco in the hours after the knife slayings of his former wife and her friend .	simpson attorneys seek to disallow blood evidence from bronco
iranian president mohammad khatami arrived in saudi arabia 's red sea port of jeddah saturday , kicking off a five-day official visit to the gulf kingdom .	iranian president visits saudi arabia
long beach is n't planning to bid for hosting the #### swimming world championships that have been withdrawn from montreal , steve goodling , president of the convention and visitors bureau in long beach , california , said wednesday .	long beach wo n't bid for world swimming championships
a dream team by virtue of their legendary stature , jay-z and mary j. blige brought two very different sides of the UNK coin to the garden thursday night .	mary j. blige jay-z bring sounds of the street and success
ugandan banks are reducing their role in treasury bills trade , whose returns are shrinking , but opening up to more risky credit finance investment for the private sector , a central bank official has said .	ugandan banks open up to credit finance
major league baseball will play its first regular-season series outside the united states and canada in august when the new york mets and san diego padres meet in monterrey , mexico .	major league baseball schedules mexican series
forging ahead with plans to build a missile defense shield , u.s. president george w. bush has tapped a staunch supporter of this administration priority for his new chairman of the joint chiefs of staff .	bush moving ahead with plans to abandon arms treaty he says is
amado guevara scored his ##th goal of the season sunday to help the metrostars sweep the season series against the los angeles galaxy with a #-# victory .	metrostars # galaxy #
mexico 's nexaca team defeated the america squad from the colombian city of cali #-# tuesday in a qualifying round of group a in the annual copa merconorte tournament .	mexico 's UNK defeats colombia 's cali #-#
in a state of wealthy suburbs and floundering cities , census figures being released tuesday are providing new detail on the one big city in the state bucking the trend .	a success among connecticut cities
financial services giant citigroup inc. and commercial bank of san francisco violated control rules and allowed some $ # billion in possibly illicit eastern european money to move through their accounts , congressional investigators say .	congressional report cites # banks
with `` the lion king '' topping local box offices from madrid to zurich and `` forrest gump '' the most watched film in europe in #### , you might have expected tinseltown to regard europe through the softest of focuses .	gumped audiences not subsidies will revive europe 's film industry
two more chinese-made food products -- including ritz crackers -- were found to contain high levels of melamine , south korean investigators said tuesday .	skorea finds more chinese-made tainted food items
bolivian president evo morales urged opposition prefects -lrb- governors -rrb- on tuesday to respect and obey the laws of the republic and to allow the bolivian people to define through the vote who will go and who will stay .	bolivian president urges opposition to obey people 's will
royalty income from agricultural technology transfers hit nt$ ##.## million -lrb- us$ #.## million -rrb- for #### , representing an annual growth of ## percent over the #### figure of nt$ ##.## million , an agriculture official said monday .	agricultural tech transfer royalties up ## %
beijing , sept ## -lrb- xinhua -rrb- -- chinese shares tumbled #.## percent to ##-month low on thursday amid renewed fears of economic slowdown and policy uncertainly .	china stocks plummet to ##-month low on growth worry policy uncertainty
a bus and car collided on a highway monday morning , injuring dozens of passengers .	dozens injured in n.j.
the top u.n. official in afghanistan is cautioning against `` simplistic '' efforts to split the taliban insurgency by buying off rank-and-file rebels while militarily confronting hardcore elements .	un envoy dismisses simplistic afghanistan plans
a small plane that left cuba with ## people aboard tuesday was hijacked before it crashed into the gulf of mexico , authorities said .	hijacked cuban plane crashes
bosnian serb police sent a $ ###,### bill to organizers of a ceremony for thousands of muslim men massacred in srebrenica .	serb police bill srebrenica widows
the number of tourists arriving in indonesia slowed in the month of september but was up ## percent over the previous year , the ministry of tourism , post and telecommunications reported tuesday .	tourist arrivals slow in september
at least seven people were injured when police fired tear gas and rubber bullets at thousands of demonstrators for the leftist fmln party who feared fraud in sunday 's election for san salvador mayor .	seven hurt in protest over san salvador mayoral election
the nigerian authorities in central benue state wednesday imposed a dusk-to-dawn curfew on two main cities following the state government held an emergency meeting to tackle the continuing ethnic fighting between the ethnic tiv and UNK people .	nigerian authorities impose curfew in two central cities
xi ` an , december ## -lrb- xinhua -rrb- -- shaanxi province in northwest china has witnessed more foreign-funded enterprises set up by foreign businessmen from ## countries and regions due to the central and local governments ' drive to encourage and promote economic development in central and western china .	more foreign-funded enterprises in shaanxi
the security council urged north korea monday to allow full international inspection of its nuclear facilities but stopped short of threatening sanctions against pyongyang .	security council demands inspections of north koreas nuclear sites
the composite index on the shenzhen stock exchange rocketed ##.## points to #,###.## , according to the china finance trust and investment corporation .	shenzhen stock index rockets
rome on tuesday began to clear one of europe 's largest gypsy camp with transfer of the first ## gypsies , said the italian news agency adnkronos .	rome clears one of europe 's largest gypsy camp
kenya has asked ethiopia to stop strikes against the somali islamic courts , kenya media reported on wednesday .	kenya urges ethiopia to cease strike on somali islamic courts
the swiss government has agreed to provide a grant assistance of # million swiss francs -lrb- about #.# million us dollars -rrb- to nepal for the implementation of a highway rehabilitation project .	switzerland to provide nepal #.# million dollars for road project
samira UNK thought she had won a major battle last year when a judge ruled she could pass on her lebanese citizenship to her children , a first for women wed to foreigners in this tiny mediterranean nation .	lebanese women wed to foreigners fight for rights
the security council of the united nations on wednesday welcomed the progress achieved during the second round of peace talks held in arusha among the parties concerned in burundi .	security council welcomes peace talks among parties
doubts were raised about yet another memoirist as the alternative publication la weekly reported wednesday that the award-winning UNK , who says he 's of navajo descent , may be a white writer impersonating an indian .	identity of indian memoirist is disputed
three weeks of `` springer fever '' ended friday as jerry springer announced he wo n't give up his chair-throwing , hair-pulling television talk show to seek the ohio democratic nomination to run against u.s. sen. mike dewine .	springer silences talk of possible senate run
authorities in beijing issued a warning wednesday over possible rain-triggered geological disasters in the city 's mountainous areas in the upcoming three days .	authorities warn of possible mudslide danger in beijing s suburbs
alinghi of switzerland beat oracle by ## seconds monday to sweep the semifinal series #-# and advance to the america 's cup challenger series final .	coutts takes alinghi to challenger final oracle drops to repechage
ivy bean , who became an online celebrity as the oldest known user of micro-blogging site twitter , has died at the age of ### .	world s oldest tweeter ivy bean dies at ###
internet addresses written in arabic are making history as the first online domains in non-latin characters , with chinese and thai expected to follow close behind .	arabic websites make history with native script addresses
oil futures shot higher for the third straight day monday as concerns about potential supply disruptions overshadowed worries about the cooling economy .	oil prices spike higher after venezuelan president threatens to cut off oil to us
german carmaker volkswagen ag said thursday it will pay an indian state nearly euro# million -lrb- us$ #.# million -rrb- in damages suffered due to the illegal actions of a former manager at the center of bribery in a scandal .	volkswagen to pay indian state euro # million in damages linked to corruption scandal
japanese electronics giant toshiba said tuesday it has helped develop a next-generation memory chip with uses from home appliances to mobile telephones , two weeks after its south korean rival samsung started mass production of UNK chips .	toshiba in rivalry with samsung unveils own next-generation chip
a cow in the southern state of alabama has tested positive for mad cow disease , the agriculture department said monday , confirming the third u.s. case of the brain-wasting ailment .	cow in state of alabama tests positive for mad cow disease had not entered food supply
china 's largest organic livestock farm and food processing base has been set up recently on west china 's qinghai-tibet plateau .	china 's largest organic food base set up in qinghai
hong kong stocks fell ##.## points , or #.# percent , to open at ##,###.## on tuesday .	hong kong stocks open lower march ##
ecuador 's regional authorities on monday evacuated hundreds of villagers following the eruption of the tungurahua volcano which had lain dormant for six months .	hundreds of ecuadorian villagers evacuated as tungurahua volcano erupts
hong kong share prices opened #.## percent higher on monday , as investors shrugged off the first confirmed case of swine flu in the city , dealers said .	hong kong shares open up #.## percent
canadian prime minister jean chretien said wednesday he was distressed at the occupation of the japanese ambassador 's residence in lima , and of the taking of hostages including some canadians .	chretien expresses distress at hostage-taking
teachers stayed home for a third day tuesday canceling classes at the country 's public schools , saying the government is late paying them their salaries for last month .	teachers stay home for third day in antigua saying government did n't pay them
the philadelphia ##ers were stuck in the middle of the eastern conference .	kukoc goes to ##ers in #-team trade
a yemeni court wednesday sentenced to death two al-qaeda militants for the october #### bombing of the us navy destroyer cole which claimed the lives of ## us sailors .	two al-qaeda men sentenced to death over uss cole bombing
spanish authorities arrested five suspected members of the basque separatist group eta on monday and seized more than ### kilograms -lrb- ### pounds -rrb- of explosives , as well as a limpet bomb prepared for use .	spanish civil guards arrest five in basque region seize ### kilos
`` this issue affects every casino in the state , '' said michael st. pierre , general manager of harrah 's north kansas city casino &amp; hotel .	casino operators complain about higher taxes with open boarding
mortgage lender bradford &amp; bingley plc said friday it is revising its plans to raise new capital after u.s. private equity fund texas pacific group pulled out of its agreement to invest .	bradford &amp; bingley plc revises funding plan after private equity firm tpg pulls out
chinese vice-president rong yiren today expressed the hope that in the coming ##st century , the sino-us relations would score `` new and bigger developments '' on the basis of the five principles of peaceful coexistence .	chinese vice-president meets henry kissinger
iraq could begin receiving financial assistance from the international monetary fund from july # , with an initial installment totalling ### million dollars , the head of the imf 's iraq mission said in an interview with a fund publication .	imf may start lending to iraq in second half of ####
rwanda and the un tribunal trying alleged ringleaders of the #### genocide in rwanda must find a compromise over alleged UNK crimes by the former rebel tutsi-dominated rwandan patriotic front -lrb- rpf -rrb- now ruling rwanda , a senior us official said tuesday .	us urges compromise between rwanda war crimes court
the european patent office on wednesday overturned central parts of a stem cell research patent granted to a scottish university in #### that critics claimed would allow genetic manipulation of human organs and cells .	european patent office restricts patent that raised concerns over human genetic manipulation
us president george w. bush and south korean president roh moo-hyun met monday to discuss trade , iraq , and a new compromise aimed at reviving efforts to defuse the north korean nuclear weapons crisis .	bush roh discuss possible north korea compromise
the world 's nations pledged more than $ ## billion to battle needless deaths among poor mothers and their children , and president barack obama spoke about what america can do to help the u.n. 's ambitious development goals .	un promotes health campaign for women children
a top red cross official declared friday `` there is no other solution '' but international military intervention to restore law and order and aid #.# million abandoned refugees in eastern zaire .	military force needed top red cross official declares with UNK
the czech republic did not want a fixed one-year deadline to be set for the new reform european treaty 's ratification , the czech news agency ctk quoted deputy prime minister for european affairs alexandr vondra as saying on thursday .	czech opposes fixed one-year deadline for eu treaty ratification
the man who refuses to leave ivory coast 's presidency faced new threats to his grasp on power after regional leaders threatened to remove him by force if necessary .	UNK threaten force in ivory coast ; ##k flee
the russian ice hockey federation has refused to sign the nhl 's player transfer agreement , putting the olympic tournament in jeopardy , the sport 's governing body said tuesday .	olympic participation in danger because russians wo n't sign nhl transfer agreement
the only way i could watch the nfl network 's broadcast of the green UNK game last thursday night was on UNK , which streamed parts of the game , but occupied users with extensive UNK from a UNK , hyperbolic studio crew .	nfl network prolongs a disconnect with fans
an overcrowded bus caught fire friday morning , killing three and injuring seven in the central asian nation of turkmenistan , a news report said .	bus fire kills three in turkmenistan
two european journalists detained in laos will face trial in the north of the country on friday , their support committee said early on thursday .	european journalists to face trial in laos on friday
thai prime minister somchai wongsawat said tuesday he accepted a verdict by the country 's constitutional court which barred him from politics for five years and dissolved his party .	thai pm accepts court ruling on political ban
the british police on wednesday arrested three men and the widow of a suicide bomber involved in the terrorist attack on the london transit system in #### on suspicion that they helped in the atrocity that killed ## people , including the four bombers .	four more arrests made in #### london bombings
south china 's guangdong province discipline inspection commission , or anti-corruption body , last year prosecuted ### serious cases of economic crimes each involving more than one million yuan -lrb- ###,### u.s. dollars -rrb- .	all england championships men 's singles last ## results
share prices opened low but closed higher on the taipei stock exchange on tuesday , with the weighted index , the market 's key barometer , climbing ###.## points to close at #,###.## .	share prices up again on taiex
baghdad , iraq - in a judicial process intended to showcase the new iraq , saddam hussein is scheduled to go on trial wednesday facing the first in an expected series of charges for his brutal , murderous reign .	saddam 's trial a potent but unpredictable step
volleys of tank , rocket and machine-gun fire thundered early tuesday morning across the strategic UNK plain just north of kabul as the rebel northern alliance and the taliban engaged in their heaviest fighting here since u.s. bombing began more than two weeks ago .	artillery battle rages on plain north of kabul
most asian markets rose friday , with south korean and australian shares hitting record highs .	most asian markets higher ; seoul shares rise to record high
